Id,Salutation,FirstName,LastName,DateOfBirth,Gender,Title,SocialSecurityNumber,PhoneNumberPrivate,PhoneNumberMobile,PhoneNumberBusiness,Email,Status,Nationality,Street,StreetNumber,ZipCode,Place,CompanyName,CompanyType,CompanyContact
572cc730-ac5d-42db-896f-e67e59e27678,Ms.,Hannah,Kunde,09/06/1986 00:00,Female,Fr. Dr.,756.6156.7851.56,0041 71 397 73 99,0041 79 123 93 73,0041 71 581 84 84,hannah.kunde@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
f315df3d-5f62-4fba-bac8-3ef49b3041a5,Mr.,Peter,Kunde,09/06/1986 00:00,Male,Hr. Dr.,756.9431.4187.53,0041 71 397 73 95,0041 79 123 93 73,0041 71 581 84 84,peter.kunde@kundenfirma.ch,True,Swiss,St. Gallerstrasse,59,9000,St. Gallen,kundenfirma,Metzgerei,Peter Kunde
4b6aca17-e9a5-4d8f-be3e-170612ffd3f9,Ms.,Elisabeth,Kunde,09/06/1986 00:00,Female,Fr. Dr.,756.8220.7715.52,0041 71 397 73 91,0041 79 123 93 73,0041 71 581 84 84,elisabeth.kunde@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
55a11e58-4f80-4a60-83a2-a0845123a43a,Mr.,Herbert,Schmidt,10/04/1964 00:00,Male,,756.4014.5028.45,,0041 76 575 19 02,0041 71 568 20 15,Herbert.Schmidt@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
2b097ed0-7236-4c14-989d-d185372e2b64,Mr.,Julius,Caesar,05/01/1975 00:00,Male,,756.7342.8701.64,,0041 76 457 11 41,0041 71 830 06 78,Julius.Caesar@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
d285edac-a83b-4942-b26f-149930a64658,Mr.,Maximilian,von Gutenberg,04/04/1976 00:00,Male,,756.9895.7230.71,,0041 77 592 56 79,0041 71 759 42 01,Maximilian.von_Gutenberg@Nordvpn.com,True,Swiss,Wilerstrasse,19,8370,Sirnach,Nord VPN AG,Menschenhandel,Maximilian von Gutenberg
5259afac-fd61-48a2-9af2-e908ed9594ee,Mr.,Jacob,Adams,18/02/1997 00:00,Male,,756.3201.6190.90,,0041 79 127 84 73,0041 71 586 72 75,Jacob.Adams@Nordvpn.com,True,Swiss,Wilerstrasse,19,8370,Sirnach,Nord VPN AG,Menschenhandel,Maximilian von Gutenberg
6e4e1801-aa8e-4728-9bab-01c0e2c92002,Ms.,Amanda,Schmidt,23/02/1963 00:00,Female,,756.9470.4637.72,,0041 79 558 84 70,0041 71 760 66 44,Amanda.Schmidt@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
4e4efc81-8f74-48a3-b080-93bcf4a8a020,Ms.,Diana,Murphy,07/02/1968 00:00,Female,,756.5976.2283.12,,0041 78 432 52 54,0041 71 512 86 45,Diana.Murphy@Nordvpn.com,True,Swiss,Wilerstrasse,19,8370,Sirnach,Nord VPN AG,Menschenhandel,Maximilian von Gutenberg
7b8c9aac-a6a3-493d-8e9c-7ec08c1279f0,Mr.,Paul,Morton,29/06/1980 17:18,Male,,756.1906.3409.21,,0041 77 500 65 27,0041 71 961 20 36,Paul.Morton@Nordvpn.com,True,Swiss,Wilerstrasse,19,8370,Sirnach,Nord VPN AG,Menschenhandel,Maximilian von Gutenberg
f29e6181-4c2b-49cb-ae0d-a8fd4ab5d148,Ms.,Karen,Wiggins,12/01/1963 00:00,Female,,756.2264.2743.25,,0041 79 387 85 68,0041 71 936 60 54,Karen.Wiggins@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
ccef05c0-29ac-4c31-b2c0-83bdbedda928,Ms.,Tristana,Montoya,07/11/2001 07:37,Female,,756.1957.1072.89,,0041 78 968 91 73,0041 71 796 30 36,Tristana.Montoya@Pralines.com,True,Swiss,Untere Steingrubenstrasse,11,4500,Solothurn,Pranlies AG,Schoggi,Anna Gobrachev
a225a726-ebc2-4574-a6bb-3f4968264071,Mr.,Tristan,Montoya,06/05/1999 05:12,Male,,756.8047.1073.28,,0041 78 047 25 15,0041 71 612 65 89,Tristan.Montoya@Pralines.com,True,Swiss,Untere Steingrubenstrasse,11,4500,Solothurn,Pranlies AG,Schoggi,Anna Gobrachev
cfd47372-bba8-4e63-b98e-a90aca9b79f5,Mr.,Mark,Henderson,15/06/1983 04:09,Male,,756.9809.9407.56,,0041 76 954 29 21,0041 71 879 89 62,Mark.Henderson@Pralines.com,True,Swiss,Untere Steingrubenstrasse,11,4500,Solothurn,Pranlies AG,Schoggi,Anna Gobrachev
5c657b22-0cd7-4250-a844-62a54030ce2d,Ms.,Manuela,Hester,21/02/2002 17:14,Female,,756.6626.2364.15,,0041 79 166 65 28,0041 71 821 87 58,Manuela.Hester@customer.ch,True,Swiss,Zürcherstrasse,13,9000,St. Gallen,customer AG,General,Elisabeth Kunde
7b7ae290-ceda-4793-8bf1-dca87b63ffda,Ms.,Anna,Gobrachev,08/06/1974 16:23,Female,,756.2410.2706.32,,0041 79 886 90 91,0041 71 503 66 65,Anna.Gobrachev@Pralines.com,True,Swiss,Untere Steingrubenstrasse,11,4500,Solothurn,Pranlies AG,Schoggi,Anna Gobrachev
6b0bac1c-5270-4496-a83f-2e939bab349b,Ms.,Cornelia,Northway,01/02/1974 21:19,Female,,756.4374.4993.86,,0041 78 775 44 60,0041 71 918 83 68,Cornelia.Northway@Pralines.com,True,Swiss,Untere Steingrubenstrasse,11,4500,Solothurn,Pranlies AG,Schoggi,Anna Gobrachev
183e359f-9855-4ded-b217-88f9222a4859,Ms.,Mandy,Noway,20/11/1995 17:33,Female,,756.5282.5037.19,,0041 78 243 30 53,0041 71 731 39 06,Mandy.Noway@Nordvpn.com,True,Swiss,Wilerstrasse,19,8370,Sirnach,Nord VPN AG,Menschenhandel,Maximilian von Gutenberg
